TransactionID;TransactionDate;CustomerID;ProductID;Quantity;UnitPrice;Currency;Country
1001;05.01.2026;C001;P100;100;520;EUR;DE
1002;05.01.2026;C002;P100;80;520;EUR;DE
1003;07.01.2026;C003;P200;150;310;EUR;PL
1004;08.01.2026;C001;P300;50;720;EUR;DE
1005;08.01.2026;C004;P200;100;310;EUR;CZ
1006;09.01.2026;C005;P100;120;520;EUR;AT
1007;10.01.2026;C006;P400;200;450;EUR;DE
1008;10.01.2026;C006;P400;200;450;EUR;DE
1009;12.01.2026;;P100;30;520;EUR;DE
1010;14.01.2026;C007;P999;40;100;EUR;DE
1011;14.01.2026;C008;P100;100;520;EUR;DE
1012;15.01.2026;C008;P300;-10;720;EUR;DE
